FiD,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
1,369756,7344070,5.631031513,-4.222157478,26.18573189,6.414657116,339.18954470,2,90,0
2,367437,7344359,7.433854580,-0.110180035,0.55263114,0.424701000,56.64986801,65,90,0
3,366952,7344759,5.937159538,-1.779597282,9.98804283,1.103329420,95.01278687,65,90,0
4,370587,7344800,4.698392391,3.406162262,27.81221581,18.802324300,269.99755860,2,20,0
5,371074,7345161,2.884592295,1.585762024,27.27577400,18.964061740,110.44061280,2,90,0
6,366577,7345280,4.526659012,0.279609680,38.49277115,15.594511030,102.55180360,65,20,0
7,371091,7345282,6.204043865,-1.264230728,26.10112572,22.633426670,150.52256770,2,90,0
8,366716,7345418,3.620190382,1.771331787,36.86881256,47.904308320,176.87260440,65,90,0
9,370469,7345515,7.017619610,0.339878559,0.52982676,4.999957085,330.78683470,2,30,0
10,370846,7345662,3.690126896,0.895063400,24.32150078,14.641627310,260.35839840,2,20,0
11,370946,7346072,3.320050001,-1.358991623,19.83403587,24.543466570,311.04547120,2,30,0
12,372569,7346300,8.029216766,-0.653183818,5.57779408,1.160548329,330.53112790,2,30,0
13,371944,7346314,3.848193645,-0.608493805,38.44643784,50.330055240,194.51542660,2,90,0
14,372173,7346356,4.612767696,-1.292186737,35.91079330,27.651708600,139.46974180,2,90,0
15,371838,7346364,3.594605446,-2.213628769,45.11554718,23.697551730,239.68609620,2,90,0
16,372083,7346385,3.735799551,0.925857544,33.83110809,82.296737670,125.53250120,2,90,0
17,371802,7346446,8.223959923,0.127884865,9.02604580,15.008715630,290.71441650,2,90,0
18,371843,7346530,5.868601322,-1.152360916,9.30811882,28.621017460,224.74528500,2,90,0
19,372397,7346531,5.893746853,0.240068436,4.43172264,11.539336200,218.18423460,2,90,0
20,372439,7346614,4.466092587,-1.425378799,33.00838470,29.169122700,222.10369870,2,90,0
21,371946,7347188,5.820354939,0.049636841,26.60213280,119.928489700,270.24188230,2,20,0
22,371658,7347261,6.955163002,-0.485826373,6.55280113,1.682722569,261.64746090,2,30,0
23,373638,7347334,3.068399906,5.418720245,23.56068420,39.376487730,187.40438840,2,90,0
24,372051,7347363,5.304365635,1.904403687,14.95384598,139.901351900,298.62054440,65,20,0
25,373124,7347397,3.737849474,2.108955383,23.31726837,59.540420530,132.67535400,2,90,0
26,373849,7347497,3.537432909,-1.403884888,29.53916168,76.079269410,118.91558080,2,20,0
27,373367,7347620,4.303349018,-2.426483154,36.39404297,77.658058170,148.43817140,2,90,0
28,371933,7347685,2.669433355,2.863452911,32.50548553,33.708301540,294.26791380,2,30,0
29,371924,7347739,6.000363827,-2.322069883,18.32883453,3.490035057,324.24273680,2,30,0
30,372536,7347778,3.593137264,-2.776438713,27.83785248,10.097658160,55.90599442,65,30,0
31,373697,7347780,3.932378054,0.802673340,10.42583942,170.116577100,275.99038700,65,90,0
32,372376,7347882,11.874370580,-0.367658615,7.71264267,16.309581760,5.48927307,65,30,0
33,372941,7348048,5.087849140,-0.360596299,6.39021730,1.912816286,295.61984250,65,30,0
34,373058,7348131,5.054715633,-1.474455357,23.81395721,10.161188130,331.57025150,65,30,0
35,373085,7348153,6.192887306,-2.501226425,22.02296066,12.380965230,307.10864260,65,30,0
36,373085,7348153,6.099165000,-1.059370000,18.60896100,9.881152000,310.60055500,65,30,0
37,373158,7348206,4.685165405,-0.150077820,9.03025627,23.239332200,279.00250240,65,30,0
38,373302,7348295,10.822097780,-0.353557587,4.16568708,31.656272890,247.12438960,65,30,0
39,373513,7348431,6.265678883,-3.722457886,19.26741982,70.697067260,312.85092160,65,90,0
40,373334,7348493,5.636507988,-0.166506767,17.10481453,12.442661290,314.53176880,65,30,0
41,373418,7348524,3.865308762,0.929197311,21.84577560,22.455223080,320.61254880,65,20,0
42,373481,7348537,7.419734478,-2.079132080,18.47358704,20.576784130,334.41290280,65,90,0
43,373978,7347631,7.742543697,-2.576484680,15.98596096,28.127567290,64.20932007,65,20,0
44,373971,7347674,7.412867546,-2.674758911,13.73749161,30.221870420,117.65587620,65,20,0
45,374231,7347857,4.312169075,-0.619678497,36.98630142,30.853912350,134.23202510,2,90,0
46,374080,7347906,5.027803421,-2.697914124,25.68171692,69.567474370,174.02302550,65,90,0
47,374437,7348112,4.547893047,0.922210693,26.31533051,74.489318850,144.72691350,2,90,0
48,375215,7348799,4.552728176,-1.471740723,21.64686203,40.146347050,96.90977478,2,90,0
49,375221,7348809,5.582105637,-3.340152740,19.79083061,40.540733340,107.96559140,2,90,0
50,375682,7348865,4.590202332,0.209856033,25.15217781,30.160598750,89.14653015,2,20,0
51,375711,7348907,4.589591503,-0.262735367,11.18567753,18.673683170,64.48712158,2,90,0
52,375217,7349138,3.325798750,3.620269775,33.74829102,166.753646900,162.37036130,65,90,0
53,379591,7352702,3.025161982,1.523910522,23.31743050,24.636079790,111.65219880,2,30,0
54,379634,7352748,4.083455086,-0.431766510,18.34191704,15.260774610,118.62988280,2,30,0
55,379303,7352862,6.390163898,-0.721268415,7.99081755,2.343923092,1.92876899,2,30,0
56,377535,7352920,2.490931988,3.588855743,37.54866028,46.345771790,199.38647460,65,90,0
57,376851,7353099,5.998237610,-2.648058414,21.67489624,10.364892010,101.14583590,2,20,0
58,376778,7353150,5.485952377,1.034606934,31.01387596,48.673892970,114.53742980,2,90,0
59,379144,7353207,4.285825253,-0.055926323,13.29591274,17.369735720,69.26075745,65,30,0
60,376797,7353233,3.176754951,0.639434814,22.75285149,42.381736760,63.62828445,2,90,0
61,379188,7353276,7.628951073,-0.380898476,3.21373367,7.352151871,88.09784699,65,30,0
62,376611,7353347,5.133321285,-0.143160105,5.90293121,3.826044559,285.78799440,2,20,0
63,376766,7353594,4.765813828,-0.132299423,35.17250443,20.836427690,246.43359380,2,90,0
64,377099,7353982,11.219679830,-0.001262696,0.00253624,0.000000000,125.43527220,2,20,0
65,377247,7354038,7.593956947,-0.305547237,4.46960545,4.137529373,280.55825810,65,90,0
66,376841,7354215,5.149376392,-0.301350832,6.20365143,2.942604303,313.30426030,2,90,0
67,377383,7354429,5.427235127,-2.526473522,16.74593163,7.277559757,285.76055910,2,90,0
68,377400,7354502,6.515333176,-0.615436077,9.92401409,6.401544094,273.00927730,2,90,0
69,377410,7354502,6.178997517,0.160892010,14.14565659,8.584829330,278.19561770,2,90,0
70,377535,7354577,4.241344452,-2.076417923,38.29213333,33.576713560,10.92064953,2,90,0
71,377535,7354577,4.330665000,-2.076418000,38.29213300,33.576714000,10.92065000,2,90,0
72,377585,7354632,5.389004231,-2.898139477,25.32463074,8.599218369,342.83306880,2,90,0
73,377715,7354665,3.137434721,-1.410758018,38.03850937,17.107364650,338.73837280,65,90,0
74,377719,7354727,6.138019085,-0.168142319,4.62933826,2.079233170,316.72396850,65,90,0
75,380247,7355125,6.618027210,-61.449337010,9.12918758,5.000000000,166.13571170,65,90,0
76,380188,7355127,2.045413733,1.920921326,77.82732391,116.821395900,152.85475160,65,90,0
77,380573,7355171,5.132545471,-2.688385010,33.61918259,100.150886500,356.08013920,2,90,0
78,380890,7355223,4.025868893,0.635265350,26.09559441,65.132461550,87.05300140,65,90,0
79,380692,7355323,3.143927574,6.527976990,62.93298340,50.933189390,344.58822630,2,90,0
80,381065,7355336,4.522457600,0.792518616,27.07195473,40.124248500,174.36729430,65,90,0
81,380230,7355452,5.040492058,-0.254745483,17.11095810,206.832458500,167.38839720,65,90,0
82,380427,7355606,3.665853262,0.810974121,24.80533218,190.190155000,93.69637299,65,90,0
83,380097,7355700,3.642751932,0.338607788,25.42253685,190.001327500,345.83535770,65,90,0
84,379676,7355756,4.074888706,-1.557739258,32.58915329,206.201156600,234.93528750,2,90,0
85,381355,7355786,4.095580101,-0.080818176,25.04059601,51.257366180,221.04437260,65,90,0
86,378847,7355854,10.178023340,-0.001499176,2.54839993,4.998891354,276.89099120,2,90,0
87,381307,7355874,5.977623463,-0.306499481,8.14730167,34.989162450,273.47158810,65,90,0
88,379331,7355988,3.160892248,1.654312134,21.32353973,179.432571400,334.21960450,65,90,0
89,380895,7356054,10.610043530,-6.071723938,16.14960480,102.178207400,106.84950260,65,90,0
90,379108,7356082,1.527882218,4.383504391,59.33514786,20.128559110,336.21994020,65,90,0
91,379289,7356211,3.644731760,6.102455139,51.02077484,136.443954500,200.19902040,65,90,0
92,381050,7356327,6.855506897,-1.695121765,26.33382797,100.962661700,112.14916990,65,90,0
93,381007,7356433,7.546995163,-0.079223633,11.41908646,112.028045700,78.46732330,2,90,0
94,378948,7356630,11.212036130,-0.024054319,0.11142863,0.007065612,122.64114380,65,90,0
95,379331,7356919,5.378844261,-0.400396585,5.17857504,4.289060116,323.51742550,65,90,0
96,380392,7357242,3.733321905,2.240745544,22.72119141,85.260665890,78.49642944,65,90,0
97,379740,7357290,9.329791069,-0.205263019,2.09242487,0.579845667,337.38369750,65,90,0
98,380389,7357293,4.985382080,0.803764343,14.33131504,72.596420290,0.49209750,65,90,0
99,380401,7357551,10.211359980,-0.010408580,0.06431786,0.004928366,208.93284610,65,70,0
100,369756,7344020,3.450329542,-0.004308320,32.40345001,31.982931137,3.83868480,2,20,1
101,367437,7344309,6.841595173,-0.017730555,23.18181992,5.089533329,45.19527435,65,90,1
102,366952,7344709,9.032745361,-0.018978221,12.92823887,1.446991682,80.87528229,65,90,1
103,370587,7344750,3.646704912,-0.011569655,27.54376793,13.009069443,251.34606934,2,20,1
104,371074,7345111,6.688553810,-0.010575908,29.80139923,15.330963135,71.88104248,2,20,1
105,366577,7345230,5.383035660,-0.019427780,22.46250534,8.757501602,106.25308228,65,90,1
106,371091,7345232,6.278617859,0.000968354,23.33914185,14.647740364,89.30664825,2,90,1
107,366716,7345368,4.903971195,-0.009722091,30.68343925,9.783023834,163.22442627,65,90,1
108,370469,7345465,4.966009140,-0.015565236,15.58041096,7.683497429,344.07153320,2,30,1
109,370846,7345612,6.102495193,-0.014795267,15.02801991,8.312385559,244.14556885,2,20,1
110,370946.0334,7346022.025,4.132582664,-0.000184477,43.90483093,46.628562927,316.64068604,2,30,1
111,372569,7346250,5.782695770,-0.010979613,20.30931282,9.144705772,306.60592651,2,30,1
112,371944,7346264,3.070170879,-0.009595905,24.89753914,17.953464508,200.93356323,2,90,1
113,372173,7346306,6.538524628,-0.013330503,20.64135742,8.205113411,124.88510132,2,90,1
114,371838,7346314,4.372004986,-0.014974081,14.17195129,7.846756935,233.36740112,2,90,1
115,372083,7346335,3.346848726,0.002410404,35.14179230,59.774497986,130.44061279,2,90,1
116,371802,7346396,5.333580971,0.009573340,18.66872025,13.862977982,226.52651978,2,90,1
117,371843,7346480,4.025763035,-0.008107572,28.16878510,29.666530609,282.08871460,2,90,1
118,372397,7346481,4.300268173,-0.001069298,7.72497845,9.947507858,236.27929688,2,90,1
119,372439,7346564,6.534352303,0.002965473,20.69125748,19.492183685,266.39907837,2,90,1
120,371946,7347138,5.297915936,0.001492768,35.00283051,123.956542969,280.43347168,2,90,1
121,371658,7347211,7.580671310,-0.010924788,11.79544353,2.482979774,271.43997192,2,30,1
122,373638,7347284,3.219949245,-0.007090582,21.78021240,14.485893250,232.71969605,2,90,1
123,372051,7347313,3.471626997,-0.000173854,31.85390091,155.180374146,323.28204346,65,20,1
124,373124,7347347,3.638765812,0.005608370,27.73070717,42.285186768,148.54931641,2,90,1
125,373849,7347447,4.856287003,-0.014100105,28.57059479,52.260036469,139.24363709,2,20,1
126,373367,7347570,2.954426289,-0.007107184,27.52337074,53.852108002,148.60789490,2,90,1
127,371933.4667,7347634.588,6.283392906,0.000619404,33.16337967,47.536384583,295.76492310,2,30,1
128,371923.9063,7347689.031,3.276497602,0.005552585,37.06031418,24.201721191,298.22607422,2,30,1
129,372536,7347728,5.244135857,-0.009083620,34.45750427,25.577629089,60.79145050,65,30,1
130,373697,7347730,4.432211399,-0.008130639,30.72761917,151.231445313,157.17079163,65,90,1
131,372376,7347832,4.464550495,0.003228650,24.72109985,30.011148453,317.04397583,65,30,1
132,372941,7347998,3.609548330,-0.012105102,15.14378834,6.609086990,298.91317749,65,30,1
133,373058,7348081,3.599532127,-0.005735134,28.66676140,30.541105270,323.79241943,65,30,1
134,373085,7348103,3.150353909,-0.004177365,23.18883133,29.567529678,328.96496582,65,30,1
135,373085,7348103,3.785868000,3.785868000,24.40774700,29.567530000,327.68576000,65,30,1
136,373158,7348156,4.617191315,-0.008527162,21.56494331,30.230199814,322.19967651,65,30,1
137,373302,7348245,5.868116856,-0.009845519,15.79193497,34.975681305,316.73785400,65,20,1
138,373513.4115,7348380.505,4.140251637,0.002085091,43.68532944,95.919639587,309.28295898,65,90,1
139,373334,7348443,3.419426918,-0.011403331,18.12388802,19.764041901,305.97827148,65,30,1
140,373418,7348474,3.687173843,0.000300057,26.60417175,35.629669190,307.39968872,65,20,1
141,373481,7348487,7.144595146,-0.006549432,15.43968296,34.919986725,347.29446411,65,90,1
142,373978,7347581,4.305000782,-0.011585555,34.02107620,35.624473572,91.68804932,2,20,1
143,373971,7347624,3.755076647,-0.017245630,35.06731796,34.820377350,59.18134689,65,20,1
144,374231,7347807,5.397029400,-0.010983014,19.92059517,12.287077904,129.37670898,2,30,1
145,374080,7347856,6.540839672,0.000088585,26.80047989,49.941932678,180.64497376,65,90,1
146,374437,7348062,4.703872681,-0.021236008,19.92075348,55.114181519,100.89860535,2,90,1
147,375215,7348749,3.332907915,-0.008558434,19.64105988,34.963909149,116.83083344,2,90,1
148,375221,7348759,5.168181896,-0.011900878,21.73439217,36.087745667,117.84526062,2,90,1
149,375682,7348815,4.025218964,-0.003749314,28.18175507,20.496744156,131.17071533,2,20,1
150,375711,7348857,5.155329227,0.006003553,24.77268982,17.397916794,113.47254944,2,20,1
151,375217.0664,7349087.651,4.725493431,-0.002023813,31.82554626,129.676437378,160.83435059,65,90,1
152,379591,7352652,4.195761681,-0.012403910,24.31241035,11.281668663,134.18492127,2,30,1
153,379634,7352698,7.075948238,-0.018902203,16.03279495,5.506398201,115.21852875,2,30,1
154,379303,7352812,4.363774300,0.000015393,26.98565483,20.045341492,359.50579834,2,30,1
155,377535,7352870,4.240584850,-0.045627300,23.36314964,16.529918671,16.72984314,65,90,1
156,376851,7353049,4.611409187,-0.018365832,26.42233276,8.162531853,88.64701080,2,30,1
157,376778,7353100,5.418625355,-0.018787326,21.75156975,40.251857758,96.37905884,2,90,1
158,379144,7353157,7.022772789,-0.024067197,14.01349735,10.549972534,144.76272583,65,30,1
159,376797,7353183,5.254999638,-0.001757329,27.57062721,44.779033661,100.09960175,2,90,1
160,379188,7353226,5.616835117,-0.004016908,6.22543430,8.013238907,52.27470779,65,30,1
161,376611,7353297,4.381351471,-0.008427303,26.58053398,9.982554436,322.30364990,2,20,1
162,376766,7353544,5.475946426,-0.010493105,14.09963989,7.578491211,231.53198242,2,90,1
163,377099,7353932,9.019707680,-0.006065866,6.18659639,1.136379004,318.35797119,2,90,1
164,377247,7353988,5.888437748,-0.011307991,14.00481987,6.933695793,318.74304199,65,90,1
165,376841,7354165,4.452368736,-0.018912658,19.26595688,5.337969780,266.33889771,2,90,1
166,377383,7354379,4.580520153,-0.011386218,27.13415909,13.504468918,279.29907227,2,90,1
167,377400,7354452,4.801277161,-0.021547571,22.34081459,9.369758606,282.58761597,2,90,1
168,377410,7354452,4.031870842,-0.019764321,35.36120224,14.523092270,284.91741943,2,90,1
169,377535.0937,7354527.194,2.814144611,0.007810368,30.94521713,68.982223511,17.40918350,2,90,1
170,377535.0937,7354527.194,4.304924000,4.304924000,28.37244200,68.982224000,17.40918400,2,90,1
171,377584.7938,7354582.006,4.157443047,0.003729326,38.03877640,45.691558838,323.59719849,2,90,1
172,377715.4625,7354614.55,3.366520405,0.002565578,34.61306000,55.501907349,324.76367188,65,90,1
173,377719,7354677,4.891144753,-0.018088762,16.72619629,6.981774330,334.00518799,2,90,1
174,380247,7355075,3.111852407,0.009216893,65.80791473,183.386306763,335.57870483,65,90,1
175,380188,7355077,4.319798470,-0.015371650,33.86004257,25.912239075,277.48513794,65,90,1
176,380573,7355121,4.956262589,0.004380087,26.23144722,135.140625000,359.41836548,65,90,1
177,380890,7355173,5.186469078,-0.000320228,26.71403694,65.004989624,89.91781616,2,90,1
178,380692,7355273,5.383821011,0.017677456,28.84728241,102.130935669,340.62823486,65,90,1
179,381065,7355286,5.470358849,-0.019511081,22.82974434,10.281038284,175.21391296,2,90,1
180,380230,7355402,5.344609737,0.000538481,13.42476082,189.981597900,180.90116882,65,90,1
181,380427,7355556,5.458826065,-0.004488463,27.06823921,169.917602539,172.77220154,65,90,1
182,380097,7355650,5.319222450,-0.000952505,23.78263664,210.029968262,353.91567993,65,90,1
183,379676,7355706,5.676669598,0.001681753,25.61734390,190.375762939,245.09815979,65,90,1
184,381355,7355736,3.584514380,0.007190312,29.03040504,26.776466370,204.00038147,2,90,1
185,378847,7355804,5.607791901,-0.021314397,18.27450180,7.478470325,296.54071045,65,90,1
186,381307,7355824,6.148293495,-0.007408384,9.70205307,35.091213226,250.96530151,2,90,1
187,379331,7355938,3.669877291,0.012879906,27.00302887,185.174743652,226.21734619,65,90,1
188,380895,7356004,3.012065887,0.000458784,26.19254303,119.269805908,22.16379929,65,90,1
189,379107.6353,7356031.792,5.454252720,0.000719685,18.89329910,64.997070313,310.65975952,65,90,1
190,379289,7356161,12.441577911,-0.586256087,1.94106269,4.999742985,327.42803955,65,90,1
191,381050,7356277,5.047700405,0.006975551,32.71705627,91.510444641,107.84714508,65,90,1
192,381007,7356383,6.072815895,-0.002748011,7.87295675,115.012542725,89.96906281,65,90,1
193,378948,7356580,3.619275093,-0.017792666,15.09500980,2.292150021,326.89562988,2,90,1
194,379331.1667,7356869.344,5.457664013,0.004764464,27.09522057,20.934837341,334.63125610,65,90,1
195,380392,7357192,4.276698589,-0.000061540,34.77697372,87.626243591,85.44505310,65,90,1
196,379740.3229,7357240.187,6.682012081,-0.008087832,11.33861351,5.026316166,0.30454123,65,90,1
197,380389,7357243,3.866227627,0.006108769,22.72119141,85.260665894,78.49642944,65,90,1
198,380401,7357501,5.076711655,-0.009964942,10.60371113,2.376335144,347.48974609,65,20,1
